Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Coronel Macedo;Pública;0,98;0,96;1,00;5,71;6,53;6,40;5,6;6,3;6,4;5,7;6,0;6,2;6,5;1º ao 5º ano;3512605
Corumbataí;Municipal;0,96;0,96;0,98;5,94;6,91;6,12;5,7;6,6;6,0;5,6;5,8;6,1;6,3;1º ao 5º ano;3512704
Corumbataí;Pública;0,96;0,96;0,98;5,94;6,91;6,12;5,7;6,6;6,0;5,6;5,8;6,1;6,3;1º ao 5º ano;3512704
Cosmópolis;Municipal;0,92;0,95;0,95;6,69;7,15;6,97;6,2;6,8;6,6;6,1;6,3;6,6;6,8;1º ao 5º ano;3512803
Cosmópolis;Pública;0,92;0,95;0,95;6,69;7,15;6,97;6,2;6,8;6,6;6,1;6,3;6,6;6,8;1º ao 5º ano;3512803
Cosmorama;Municipal;0,97;1,00;1,00;6,01;7,43;6,95;5,8;7,4;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3512902
Cosmorama;Pública;0,97;1,00;1,00;6,01;7,43;6,95;5,8;7,4;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3512902
Cotia;Estadual;1,00;1,00;0,99;6,26;5,49;5,65;6,3;5,5;5,6;5,8;6,0;6,3;6,5;1º ao 5º ano;3513009
Cotia;Municipal;0,95;0,95;0,96;5,92;6,13;6,20;5,7;5,8;6,0;5,8;6,1;6,3;6,6;1º ao 5º ano;3513009
Cotia;Pública;0,95;0,95;0,96;5,93;6,12;6,19;5,7;5,8;6,0;5,8;6,1;6,3;6,6;1º ao 5º ano;3513009
Cravinhos;Estadual;;;;;;;;;;6,3;6,6;6,8;7,0;1º ao 5º ano;3513108
Cravinhos;Municipal;0,92;0,89;0,89;6,22;6,37;6,58;5,7;5,6;5,8;5,9;6,1;6,4;6,6;1º ao 5º ano;3513108
Cravinhos;Pública;0,92;0,89;0,89;6,22;6,37;6,58;5,7;5,6;5,8;6,0;6,2;6,4;6,7;1º ao 5º ano;3513108
Cristais Paulista;Municipal;0,96;0,98;0,96;6,55;6,32;6,60;6,3;6,2;6,3;5,9;6,2;6,4;6,7;1º ao 5º ano;3513207
Cristais Paulista;Pública;0,96;0,98;0,96;6,55;6,32;6,60;6,3;6,2;6,3;5,9;6,2;6,4;6,7;1º ao 5º ano;3513207
Cruzália;Estadual;0,94;1,00;1,00;;6,26;5,82;;6,3;5,8;6,3;6,5;6,7;6,9;1º ao 5º ano;3513306
Cruzália;Pública;0,95;1,00;1,00;;6,26;5,82;;6,3;5,8;6,3;6,5;6,7;6,9;1º ao 5º ano;3513306
Cruzeiro;Estadual;;;;;;;;;;6,0;6,3;6,5;6,8;1º ao 5º ano;3513405
Cruzeiro;Municipal;0,97;0,97;0,96;6,05;6,40;6,19;5,8;6,2;6,0;5,6;5,9;6,2;6,4;1º ao 5º ano;3513405
Cruzeiro;Pública;0,97;0,97;0,96;6,05;6,40;6,19;5,8;6,2;6,0;5,8;6,1;6,4;6,6;1º ao 5º ano;3513405
Cubatão;Estadual;0,97;0,99;1,00;5,82;6,40;6,99;5,6;6,3;7,0;5,4;5,7;6,0;6,2;1º ao 5º ano;3513504
Cubatão;Municipal;0,94;0,96;0,93;6,24;6,50;6,40;5,9;6,2;6,0;5,4;5,6;5,9;6,2;1º ao 5º ano;3513504
Cubatão;Pública;0,95;0,96;0,94;6,17;6,48;6,49;5,8;6,2;6,1;5,4;5,7;5,9;6,2;1º ao 5º ano;3513504
Cunha;Estadual;0,92;0,96;;5,99;6,23;;5,5;6,0;;6,0;6,3;6,5;6,7;1º ao 5º ano;3513603
Cunha;Municipal;0,91;0,94;0,96;6,15;6,65;6,52;5,6;6,2;6,3;5,5;5,8;6,1;6,3;1º ao 5º ano;3513603
Cunha;Pública;0,92;0,94;0,96;6,11;6,58;6,52;5,6;6,2;6,3;5,7;6,0;6,3;6,5;1º ao 5º ano;3513603
Descalvado;Municipal;0,97;0,97;0,97;6,78;6,84;6,68;6,6;6,7;6,4;6,2;6,5;6,7;6,9;1º ao 5º ano;3513702
Descalvado;Pública;0,97;0,97;0,97;6,78;6,84;6,68;6,6;6,7;6,4;6,2;6,5;6,7;6,9;1º ao 5º ano;3513702
Diadema;Estadual;0,99;1,00;1,00;6,75;6,81;6,60;6,7;6,8;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3513801
Diadema;Municipal;0,98;0,99;0,99;6,45;6,57;6,43;6,3;6,5;6,4;6,1;6,3;6,5;6,8;1º ao 5º ano;3513801
Diadema;Pública;0,99;0,99;1,00;6,61;6,71;6,52;6,5;6,6;6,5;6,0;6,3;6,5;6,7;1º ao 5º ano;3513801
Dirce Reis;Estadual;0,96;0,96;0,99;;6,72;6,82;;6,4;6,8;5,4;5,6;5,9;6,2;1º ao 5º ano;3513850
Dirce Reis;Pública;0,97;0,96;0,99;;6,72;6,82;;6,5;6,8;5,4;5,6;5,9;6,2;1º ao 5º ano;3513850
Divinolândia;Municipal;0,97;0,99;1,00;6,32;6,77;6,38;6,1;6,7;6,4;6,0;6,3;6,5;6,7;1º ao 5º ano;3513900
Divinolândia;Pública;0,97;0,99;1,00;6,32;6,77;6,38;6,1;6,7;6,4;6,0;6,3;6,5;6,7;1º ao 5º ano;3513900
Dobrada;Estadual;1,00;1,00;1,00;6,43;6,16;5,89;6,4;6,1;5,9;5,1;5,4;5,7;6,0;1º ao 5º ano;3514007
Dobrada;Pública;1,00;1,00;1,00;6,43;6,16;5,89;6,4;6,1;5,9;5,1;5,4;5,7;6,0;1º ao 5º ano;3514007
Dois Córregos;Estadual;;;;;;;;;;6,4;6,6;6,9;7,1;1º ao 5º ano;3514106
Dois Córregos;Municipal;1,00;1,00;1,00;6,58;6,36;6,72;6,6;6,3;6,7;7,3;7,4;7,6;7,8;1º ao 5º ano;3514106
Dois Córregos;Pública;1,00;1,00;1,00;6,58;6,36;6,72;6,6;6,3;6,7;6,5;6,7;6,9;7,1;1º ao 5º ano;3514106
Dolcinópolis;Municipal;1,00;0,96;0,95;7,13;6,95;6,76;7,1;6,7;6,4;7,5;7,6;7,8;7,9;1º ao 5º ano;3514205
Dolcinópolis;Pública;1,00;0,96;0,95;7,13;6,95;6,76;7,1;6,7;6,4;7,5;7,6;7,8;7,9;1º ao 5º ano;3514205
Dourado;Municipal;0,96;0,98;0,97;6,59;6,05;6,50;6,3;5,9;6,3;6,1;6,4;6,6;6,8;1º ao 5º ano;3514304
Dourado;Pública;0,96;0,98;0,97;6,59;6,05;6,50;6,3;5,9;6,3;6,1;6,4;6,6;6,8;1º ao 5º ano;3514304
Dracena;Municipal;0,98;0,99;0,99;6,87;7,05;6,72;6,7;7,0;6,6;6,3;6,5;6,7;6,9;1º ao 5º ano;3514403
Dracena;Pública;0,98;0,99;0,99;6,87;7,05;6,72;6,7;7,0;6,6;6,3;6,5;6,7;6,9;1º ao 5º ano;3514403
Duartina;Municipal;1,00;0,99;0,99;7,11;6,77;6,92;7,1;6,7;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3514502
Duartina;Pública;1,00;0,99;0,99;7,11;6,77;6,92;7,1;6,7;6,9;6,5;6,7;6,9;7,1;1º ao 5º ano;3514502
Dumont;Municipal;0,99;1,00;1,00;8,06;7,16;6,81;8,0;7,1;6,8;6,5;6,7;6,9;7,1;1º ao 5º ano;3514601
Dumont;Pública;0,99;1,00;1,00;8,06;7,16;6,81;8,0;7,1;6,8;6,5;6,7;6,9;7,1;1º ao 5º ano;3514601
Echaporã;Municipal;0,95;0,98;1,00;6,47;7,02;7,63;6,2;6,9;7,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3514700
Echaporã;Pública;0,95;0,98;1,00;6,47;7,02;7,63;6,2;6,9;7,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3514700
Eldorado;Estadual;1,00;1,00;;;;;;;;5,6;5,8;6,1;6,3;1º ao 5º ano;3514809
Eldorado;Municipal;0,90;0,93;0,91;6,22;6,31;6,63;5,6;5,9;6,0;5,3;5,6;5,9;6,1;1º ao 5º ano;3514809
Eldorado;Pública;0,90;0,93;0,91;6,22;6,31;6,63;5,6;5,9;6,0;5,5;5,8;6,1;6,3;1º ao 5º ano;3514809
Elias Fausto;Estadual;;;;;;;;;;6,0;6,3;6,5;6,8;1º ao 5º ano;3514908
Elias Fausto;Municipal;0,95;0,97;0,97;6,79;7,19;6,90;6,4;6,9;6,7;6,2;6,4;6,6;6,9;1º ao 5º ano;3514908
Elias Fausto;Pública;0,95;0,97;0,97;6,79;7,19;6,90;6,4;6,9;6,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3514908
Elisiário;Municipal;1,00;1,00;1,00;7,42;7,15;8,30;7,4;7,1;8,3;6,2;6,4;6,7;6,9;1º ao 5º ano;3514924
Elisiário;Pública;1,00;1,00;1,00;7,42;7,15;8,30;7,4;7,1;8,3;6,2;6,4;6,7;6,9;1º ao 5º ano;3514924
Embaúba;Municipal;1,00;1,00;0,99;6,40;7,72;8,03;6,4;7,7;7,9;6,8;7,0;7,2;7,4;1º ao 5º ano;3514957
Embaúba;Pública;1,00;1,00;0,99;6,40;7,72;8,03;6,4;7,7;7,9;6,8;7,0;7,2;7,4;1º ao 5º ano;3514957
Embu das Artes;Estadual;0,99;0,99;1,00;6,47;6,47;6,50;6,4;6,4;6,5;5,8;6,0;6,3;6,5;1º ao 5º ano;3515004
Embu das Artes;Municipal;0,99;1,00;1,00;6,04;6,17;6,03;6,0;6,2;6,0;5,5;5,8;6,1;6,3;1º ao 5º ano;3515004
Embu das Artes;Pública;0,99;1,00;1,00;6,20;6,26;6,17;6,2;6,2;6,1;5,6;5,9;6,1;6,4;1º ao 5º ano;3515004
Embu-Guaçu;Estadual;1,00;1,00;1,00;6,26;6,72;6,83;6,2;6,7;6,8;6,0;6,3;6,5;6,7;1º ao 5º ano;3515103
