Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Barão de Antonina;Pública;6,0;7,3;6,6;6,1;6,4;6,6;6,8;7,1;1º ao 5º ano;3505005
Barbosa;Municipal;5,7;6,4;7,0;6,4;5,7;6,0;6,2;6,5;1º ao 5º ano;3505104
Barbosa;Pública;5,7;6,4;7,0;6,4;5,7;6,0;6,2;6,5;1º ao 5º ano;3505104
Bariri;Estadual;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3505203
Bariri;Municipal;6,1;6,6;6,8;6,2;7,0;7,2;7,4;7,5;1º ao 5º ano;3505203
Bariri;Pública;6,1;6,6;6,8;6,2;6,3;6,5;6,7;6,9;1º ao 5º ano;3505203
Barra Bonita;Municipal;6,7;6,7;6,5;6,3;6,5;6,8;7,0;7,2;1º ao 5º ano;3505302
Barra Bonita;Pública;6,7;6,7;6,5;6,3;6,5;6,8;7,0;7,2;1º ao 5º ano;3505302
Barra do Chapéu;Municipal;6,0;6,2;5,6;5,7;7,7;7,8;7,9;8,1;1º ao 5º ano;3505351
Barra do Chapéu;Pública;6,0;6,2;5,6;5,7;7,7;7,8;7,9;8,1;1º ao 5º ano;3505351
Barra do Turvo;Estadual;;;;;6,0;6,2;6,5;6,7;1º ao 5º ano;3505401
Barra do Turvo;Municipal;5,1;5,9;5,5;6,1;5,0;5,3;5,6;5,8;1º ao 5º ano;3505401
Barra do Turvo;Pública;5,1;5,9;5,5;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3505401
Barretos;Estadual;;;;;6,0;6,2;6,5;6,7;1º ao 5º ano;3505500
Barretos;Municipal;6,4;6,7;6,7;6,2;6,1;6,3;6,5;6,8;1º ao 5º ano;3505500
Barretos;Pública;6,4;6,7;6,7;6,2;6,1;6,3;6,5;6,8;1º ao 5º ano;3505500
Barrinha;Municipal;5,9;5,8;6,3;5,7;7,4;7,5;7,7;7,8;1º ao 5º ano;3505609
Barrinha;Pública;5,9;5,8;6,3;5,7;7,4;7,5;7,7;7,8;1º ao 5º ano;3505609
Barueri;Municipal;6,3;6,5;6,7;6,4;5,8;6,1;6,3;6,6;1º ao 5º ano;3505708
Barueri;Pública;6,3;6,5;6,7;6,4;5,8;6,1;6,3;6,6;1º ao 5º ano;3505708
Bastos;Estadual;6,4;6,6;6,8;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3505807
Bastos;Pública;6,4;6,7;6,8;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3505807
Batatais;Estadual;6,6;7,0;7,2;6,7;6,9;7,1;7,2;7,4;1º ao 5º ano;3505906
Batatais;Municipal;6,2;6,6;6,4;6,1;6,1;6,3;6,5;6,8;1º ao 5º ano;3505906
Batatais;Pública;6,3;6,7;6,6;6,3;6,3;6,5;6,8;7,0;1º ao 5º ano;3505906
Bauru;Estadual;6,3;6,4;6,6;5,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3506003
Bauru;Municipal;5,9;6,1;6,1;5,6;5,7;6,0;6,2;6,5;1º ao 5º ano;3506003
Bauru;Pública;6,2;6,3;6,4;5,7;6,2;6,4;6,6;6,9;1º ao 5º ano;3506003
Bebedouro;Estadual;;;;;6,1;6,4;6,6;6,8;1º ao 5º ano;3506102
Bebedouro;Municipal;6,2;6,6;6,4;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3506102
Bebedouro;Pública;6,2;6,6;6,4;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3506102
Bento de Abreu;Estadual;;;;;7,0;7,2;7,4;7,6;1º ao 5º ano;3506201
Bento de Abreu;Municipal;;6,7;7,3;6,7;5,6;5,8;6,1;6,3;1º ao 5º ano;3506201
Bento de Abreu;Pública;;6,7;7,3;6,7;7,0;7,2;7,4;7,6;1º ao 5º ano;3506201
Bernardino de Campos;Municipal;5,9;6,5;6,6;5,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3506300
Bernardino de Campos;Pública;5,9;6,5;6,6;5,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3506300
Bertioga;Municipal;5,8;6,1;6,5;6,1;5,3;5,5;5,8;6,1;1º ao 5º ano;3506359
Bertioga;Pública;5,8;6,1;6,5;6,1;5,3;5,5;5,8;6,1;1º ao 5º ano;3506359
Bilac;Municipal;7,7;6,6;7,2;6,9;6,9;7,1;7,3;7,5;1º ao 5º ano;3506409
Bilac;Pública;7,7;6,6;7,2;6,9;6,9;7,1;7,3;7,5;1º ao 5º ano;3506409
Birigui;Estadual;;;;;6,5;6,8;7,0;7,2;1º ao 5º ano;3506508
Birigui;Municipal;7,1;7,3;7,4;7,0;6,6;6,8;7,0;7,2;1º ao 5º ano;3506508
Birigui;Pública;7,1;7,3;7,4;7,0;6,6;6,8;7,0;7,2;1º ao 5º ano;3506508
